CW;"[R D' R'; U2, R' D R]"
WC;"[R D' R'; R' D R, U2]"
CX;"[R' D' R; D, R U2 R']"
XC;"[R' D' R; R U2 R', D]"
CO;"[U'; U2, R D R']"
OC;"[U'; R D R', U2]"
CP;[U2, R' D' R]
PC;[R' D' R, U2]
CH;"[U'; U2, R D' R']"
HC;"[U'; R D' R', U2]"
CF;[F: R' D' R, U2]
FC;[F: U2, R' D' R]
CG;[U2, R' D R]
GC;[R' D R, U2]
CS;"[U D'; R D R', U2]"
SC;"[U D'; U2, R D R']"
CT;[D': U2, R' D' R]
TC;[D': R' D' R, U2]
MD;"U: lefty Bowtie<div>[R' U'; R' D' R, U']</div>"
DM;"U: chamaeleon<div>[R' U'; U', R' D' R]</div>"
MI;"[U' R'; U', R' D' R]"
IM;"[U' R'; R' D' R, U']"
MK;"[U' D' R'; U', R' D R]"
KM;"[U' D' R'; R' D R, U']"
ML;"<div>[R' D; R' U R, D]</div>[D R; U' L' U, R]"
LM;"[R' D; D, R' U R]<div>[D R; R, U' L' U]</div>"
MU;"[D R'; R' U R, D]"
UM;"[D R'; D, R' U R]"
MV;"[R'; D, R' U R]"
VM;"[R'; R' U R, D]"
MW;"[D' R'; D, R' U R]"
WM;"[D' R'; R' U R, D]"
MX;"[D2 R'; D, R' U R]"
XM;"[D2 R'; R' U R, D]"
MO;"<div>[U R2; U', R' D' R]</div>[R; U' L' U, R2]"
OM;"[U R2; R' D' R, U']<div>[R; R2, U' L' U]</div>"
MP;"<div>[U R U'; U', R D R']</div>[R; U' L' U, R]"
PM;"<div>[U R U'; R D R', U']</div>[R; R, U' L' U]"
MH;"[R' D; R' U R, D2]"
HM;"[R' D; D2, R' U R]"
MF;"[R U R' D'; U2, R' D R]"
FM;"[R U R' D'; R' D R, U2]"
MG;"[U' R'; U', R' D R]"
GM;"[U' R'; R' D R, U']"
MS;"[U' D R'; U', R' D R]"
SM;"[U' D R'; R' D R, U']"
MT;"[R' U; R' D' R, U]"
TM;"[R' U; U, R' D' R]"
JD;"<div>[l' U; U2, R D' R']</div><div>[L'; U2, L' D' L]</div>"
DJ;"<div>[l' U; R D' R', U2]</div>[L'; L' D' L, U2]"
JI;<div>[z: R' D' R, U]</div>[U' R' U, L]
IJ;<div>[z: U, R' D' R]</div>[L, U' R' U]
JF;"[U' R; R D R', U2]"
FJ;"[U' R; U2, R D R']"
JX;[D U R': R' D R, U']
XJ;[D U R': U', R' D R]
JH;"[R; U, R D' R]"
HJ;"[R; R D' R, U]"
JS;[R D': U, R D R']
SJ;[R D': R D R', U]
JW;"<div>[R D; U, R D R']</div>[B2, L F' L'] (x')"
WJ;"<div>[R D; R D R', U]</div>[L F' L', B2] (x/x')"
JT;"[D R; U, R D' R']"
TJ;"[D R; R D' R', U]"
JO;"[R U; U, R' D' R]"
OJ;"[R U; R' D' R, U]"
JV;"<div>[U D' R'; R' D R, U']</div><div>[R U R'; U', R' D' R]</div>"
VJ;"<div>[U D' R'; U', R' D R]</div>[R U R'; R' D' R, U']"
JP;"[D2 R; U, R D' R']"
PJ;"[D2 R; R D' R', U]"
JK;"[U R' U'; R D R', U']<div>[F, R' B2 R]</div>"
KJ;"<div>[U R' U'; U', R D R']</div>[R' B2 R, F]"
JU;"<div>[U R'; R' D R, U']</div>[D R' D', L2]"
UJ;"<div>[U R'; U', R' D R]</div>[L2, D R' D']"
JL;"[D' R; U, R D' R']"
LJ;"[D' R; R D' R', U]"
JG;"[R U; U, R' D R]"
GJ;"[R U; R' D R, U]"
DX;"<div>[D' R D' U2; R' D R, U]</div>[U': L2, R' U' R U]"
XD;"<div>[D' R D' U2; U, R' D R]</div>[U': R' U' R U, L2]"
DH;"[U; R D' R', U]"
HD;"[U; U, R D' R']"
DS;"[D U'; U', R' D R]"
SD;"[D U'; R' D R, U']"
DW;"[R D' U2; R' D R, U]<div>[B2, Rw U Rw']</div>"
WD;"<div>[R D' U2; U, R' D R]</div>[Rw U Rw', B2]"
DT;"<div>[U D; R D' R', U]</div><div>[R U' D'; U', R' D R]</div>[U', L D2 L']"
TD;"<div>[U D; U, R D' R']</div><div>[R U' D'; R' D R, U']</div>[L D2 L', U']"
DO;"[L' D L, U]<div>[U; R D R', U]</div>"
OD;"[U, L' D L]<div>[U; U, R D R']</div>"
DV;"<div>[R' D U2; U', R D' R']</div>[x': L' U' L, D2]"
VD;"<div>[R' D U2; R D' R', U']</div>[x': D2, L' U' L]"
DP;"[U'; U', R' D' R]"
PD;"[U'; R' D' R, U']"
DK;"<div>[D' U'; U', R' D R]</div>[L' D2 L, U]"
KD;"[D' U'; R' D R, U']<div>[U, L' D2 L]</div>"
DU;"<div>[D R' D U; R D' R', U]</div>[U: sexy, L2]"
UD;"[D R' D U; U, R D' R']<div>[U: L2, sexy]</div>"
DL;"[D U'; U', R' D' R]"
LD;"[D U'; R' D' R, U']"
DG;"[U'; U', R' D R]"
GD;"[U'; R' D R, U']"
IX;"[U'; L2, U' R' U]"
XI;"[U'; U' R' U, L2]"
IH;"[U; U R U', L]<div>[D: U R' U', L']</div>"
HI;"<div>[U; L, U R U']</div><div>[D: L', U R' U']</div>"
IS;"<div>[D: L, U' R2 U]</div>[D U; U R U', L2]"
SI;"<div>[D: U' R2 U, L]</div>[D U; L2, U R U']"
IW;[R F2 R', B2]
WI;[B2, R F2 R']
IT;[U R' U', L']
TI;[L', U R' U']
IO;[L, U' R2 U]
OI;[U' R2 U, L]
IV;[U R2 U', L']
VI;[L', U R2 U']
IP;[L, U' R U]
PI;[U' R U, L]
IK;[F2, R' B2 R]
KI;[R' B2 R, F2]
IU;[D: U R2 U', L']
UI;[D: L', U R2 U']
IL;[z x': R U R', D]
LI;[z x': D, R U R']
IG;"[U; U R U', L2]"
GI;"[U; L2, U R U']"
FX;[U R': R' D2 R, U2]
XF;[U R': U2, R' D2 R]
FH;"[U' R; U2, R D' R']"
HF;"[U' R; R D' R', U2]"
