AB,4.538222222222221,9,572,0,0
AC,5.599086956521739,23,537,0,0
AD,4.885,8,661,0,0
AE,7.023375,8,708,0,0
AF,5.201249999999999,8,376,0,0
AG,7.972499999999999,8,355,1,0
AH,3.8245555555555555,9,143,0,0
AI,9.8578,10,181,2,0
AJ,3.3555,8,323,0,0
AL,3.373692307692308,13,463,0,0
AM,4.433749999999999,8,579,0,0
AN,4.585875,8,453,0,0
AO,5.902124999999999,8,645,0,0
AP,5.90111111111111,9,61,0,0
AR,3.6005555555555557,9,554,0,0
AS,9.25242857142857,7,455,1,0
AT,3.3702000000000005,10,642,0,0
AV,3.457,8,1034,0,0
AW,9.300749999999999,8,1147,0,0
AX,3.693375,8,1028,0,0
BA,4.14075,8,643,0,0
BC,3.8566363636363636,11,1210,0,0
BD,5.007625,8,668,0,0
BE,4.841777777777778,9,959,0,0
BF,8.106,9,448,1,0
BG,13.62927272727273,11,133,3,0
BH,6.65825,8,546,0,0
BI,4.373222222222221,9,47,0,0
BJ,3.03325,8,471,0,0
BL,4.708874999999999,8,609,0,0
BN,6.989666666666667,9,69,0,0
BO,8.492375,8,440,1,0
BP,5.5996250000000005,8,484,0,0
BQ,9.826769230769232,13,114,2,0
BR,4.5665000000000004,8,521,0,0
BS,6.595750000000001,8,870,0,0
BT,3.69125,12,1269,0,0
BV,3.8127777777777774,9,150,0,0
BW,3.6006666666666667,9,211,0,0
BX,4.347625,8,352,0,0
CA,6.995571428571429,7,451,0,0
CB,4.271624999999999,8,938,0,0
CD,4.6816249999999995,8,480,0,0
CE,10.626419354838715,31,175,4,0
CF,6.084000000000001,8,334,0,0
CG,11.824777777777777,9,297,2,0
CH,5.251875,8,558,0,0
CJ,4.341,11,309,0,0
CL,4.3553749999999996,8,527,0,0
CM,10.180714285714288,14,2,1,0
CN,5.007874999999999,8,358,0,0
CO,12.015909090909089,11,15,4,0
CP,5.865125,8,319,0,0
CQ,8.075363636363637,11,168,1,0
CR,5.6405,8,804,0,0
CS,12.8001,10,52,3,0
CT,5.140444444444445,9,389,0,0
CV,5.910125000000001,8,369,0,0
CW,6.468894736842105,19,874,1,0
CX,5.086,8,337,0,0
DA,4.614230769230768,13,408,0,0
DB,4.34575,8,818,0,0
DC,5.187625,8,896,0,0
DF,6.224,9,163,0,0
DG,12.251450000000002,20,8,5,0
DH,6.380875,8,540,0,0
DI,4.6376,10,384,0,0
DJ,4.714875,8,305,0,0
DL,4.916124999999999,8,551,0,0
DM,6.9978750000000005,8,940,0,0
DN,6.625000000000002,10,618,0,0
DO,10.405375,16,153,2,0
DP,6.736125000000001,8,458,0,0
DQ,11.402928571428573,14,40,4,0
DR,3.3594999999999997,10,1039,0,0
DS,5.691374999999999,8,962,0,0
DT,4.117625,8,583,0,0
DV,4.418,8,1478,0,0
DW,3.96875,8,809,0,0
DX,4.7385,8,547,0,0
EA,5.711,8,386,0,0
EB,7.4577,10,245,1,0
EC,10.997461538461538,13,66,3,0
EF,3.0387500000000003,8,348,0,0
EG,3.75975,8,582,0,0
EH,3.862666666666667,9,398,0,0
EI,4.919875,8,518,0,0
EJ,5.023499999999999,8,601,0,0
EL,6.353625,8,514,0,0
EM,3.56475,8,375,0,0
EN,4.994125,8,578,0,0
EO,4.665875,8,739,0,0
EP,4.66625,8,749,0,0
EQ,9.68588888888889,9,89,0,0
ER,7.215444444444444,9,228,0,0
ES,6.212750000000001,8,467,0,0
ET,7.925750000000001,8,624,1,0
EV,4.371611111111111,18,494,0,0
EW,5.2303749999999996,8,434,0,0
EX,4.414888888888889,9,913,0,0
FA,7.559111111111112,9,275,2,0
FB,6.75,7,404,0,0
FC,6.7284999999999995,8,330,0,0
FD,6.980625,8,468,0,0
FE,3.2726666666666664,9,332,0,0
FG,3.454875,8,653,0,0
FH,3.914999999999999,9,361,0,0
FI,3.9395000000000002,8,685,0,0
FJ,5.359500000000001,8,406,0,0
FM,5.602222222222221,9,796,0,0
FN,8.323434782608699,23,474,2,0
FO,6.294249999999999,12,320,0,0
FP,10.872181818181817,11,86,1,0
FQ,5.654375,8,387,0,0
FR,8.2359,10,142,0,0
FS,6.620875,8,512,0,0
FT,14.424727272727273,11,33,5,0
FV,6.3516,10,299,0,0
FW,6.65225,8,462,0,0
FX,7.710799999999999,10,268,0,0
GA,8.8245,8,862,0,0
GB,9.903066666666664,15,104,3,0
GC,10.650749999999999,12,11,2,0
GD,10.858384615384612,13,42,2,0
GE,4.150375,8,730,0,0
GF,4.66625,8,872,0,0
GH,5.12525,8,477,0,0
GI,4.5782500000000015,8,370,0,0
GJ,8.838666666666668,9,289,1,0
GL,9.4671,10,259,1,0
GM,5.011749999999999,8,833,0,0
GN,7.056625,8,501,0,0
GO,13.394375000000002,8,524,1,0
GP,9.402888888888889,9,266,1,0
GQ,5.409666666666666,9,127,0,0
GR,7.460500000000001,8,315,0,0
GS,6.23625,8,382,0,0
GT,11.886545454545455,11,124,5,0
GV,9.862374999999997,16,12,5,0
GW,7.254090909090909,11,199,1,0
HA,4.224624999999999,8,548,0,0
HB,7.829700000000001,10,272,0,0
HC,5.337875,8,781,0,0
HD,7.038799999999999,10,769,0,0
HE,4.344125,8,689,0,0
HF,5.169874999999999,8,324,0,0
HG,4.680916666666667,12,65,0,0
HI,3.5938749999999997,8,502,0,0
HJ,12.551692307692308,13,48,6,0
HL,8.0995,8,569,0,0
HM,5.453125,8,561,0,0
HN,11.470114285714285,35,53,6,0
HO,9.171875000000002,8,331,1,0
HP,8.411555555555555,9,235,0,0
HQ,4.994375,8,737,0,0
HS,5.181749999999999,8,1044,0,0
HT,9.4517,10,217,1,0
HV,8.349375,8,489,0,0
HW,6.704888888888888,9,160,0,0
HX,8.232624999999999,8,574,0,0
IA,7.161444444444446,9,280,0,0
IB,4.02125,8,1053,0,0
ID,6.1093636363636366,11,183,1,0
IE,4.610277777777779,18,837,1,0
IF,3.6793750000000003,8,857,0,0
IG,3.8085,8,715,0,0
IH,3.9997499999999997,8,914,0,0
IJ,3.7362499999999996,8,717,0,0
IL,4.401166666666667,12,1632,0,0
IM,3.4686666666666666,9,301,0,0
IN,3.1078888888888887,9,380,0,0
IO,3.477111111111111,9,271,0,0
IP,3.07825,8,522,0,0
IQ,5.6915000000000004,8,328,0,0
IR,5.3828749999999985,8,1328,0,0
IS,9.67,8,495,0,0
IT,4.457000000000001,8,889,0,0
IV,4.119374999999999,8,424,0,0
IW,9.180333333333332,9,1080,1,0
IX,4.727518518518517,27,585,1,0
JA,3.5196249999999996,8,762,0,0
JB,4.556499999999999,8,538,0,0
JC,4.350555555555555,9,1173,0,0
JD,5.474625,8,1198,0,0
JE,6.171777777777778,9,444,0,0
JF,4.410125,8,429,0,0
JG,9.810625,8,673,2,0
JH,11.589214285714286,14,19,4,0
JI,4.27725,8,394,0,0
JL,8.855090909090906,11,234,1,0
JM,6.64625,8,350,0,0
JN,6.275625000000001,8,587,1,0
JO,5.678888888888888,9,534,0,0
JQ,6.493875,8,634,0,0
JR,6.053428571428571,7,443,0,0
JS,5.751666666666667,9,838,0,0
JT,5.11725,8,314,0,0
JV,4.835625,8,426,0,0
JW,4.317888888888888,9,563,0,0
JX,11.277899999999999,10,1,4,0
LA,2.8925,8,513,0,0
LB,5.9590000000000005,8,460,1,0
LC,6.666272727272727,11,90,0,0
LD,3.92175,8,557,0,0
LE,6.236250000000001,8,766,0,0
LG,8.116333333333332,9,586,0,0
LH,8.199375,8,667,1,0
LI,4.76575,8,516,0,0
LJ,10.685777777777778,9,46,0,0
