AB,0.0,0.0,0.0,0.0,7.547
AD,9.958666666666666,3,349,0,0
AE,0,0,0,0,0
AF,9.340222222222224,9,594,1,0
AG,6.484,1,4,0,0
AH,9.286,3,240,0,0
AI,15.596333333333334,6,370,3,0
AJ,10.799500000000002,6,360,0,0
AK,0,0,0,0,0
AL,12.525374999999999,8,501,2,0
AM,4.0,347.0,1.0,0.0,6.031
AN,8.0,754.0,0.0,0.0,4.719
AO,6.210999999999999,4,331,0,0
AP,8.4885,4,369,0,0
AQ,8.0,18.0,3.0,0.0,8.812
AR,5.0,197.0,1.0,0.0,6.156
AS,3.0,42.0,0.0,0.0,7.281
AT,13.668599999999998,5,242,3,0
AU,13.693142857142858,14,1627,6,0
AV,10.961,2,368,0,0
AW,16.538999999999998,10,533,7,0
AX,21.735,1,114,1,0
BA,6.3095,6,115,0,0
BD,7.820250000000001,4,231,0,0
BE,8.729166666666666,6,456,0,0
BF,0.0,0.0,6.281,6.281,6.281
BG,8.156,1,98,0,0
BH,7.344,1,82,0,0
BI,19.50775,4,154,3,0
BJ,5.0,4,278,0,0
BK,0.0,0.0,5.047,5.047,5.047
BL,18.465,4,245,3,0
BM,16.051833333333335,6,219,2,0
BN,15.605000000000002,7,194,4,0
BO,6.9182500000000005,4,321,0,0
BP,23.80075,4,274,3,0
BQ,0,0,0,0,0
BR,10.0,1391.0,5.0,0.0,9.61
BS,7.257874999999999,8,200,0,0
BT,6.071,2,386,0,0
BU,0.0,0.0,0.0,21.187,28.047
BV,5.415142857142857,7,75,0,0
BW,32.0,0.0,0.0,6.625,8.531
BX,0,0,0,0,0
DA,18.1635,2,39,1,0
DB,6.490600000000001,5,201,0,0
DE,7.0,63.0,5.0,0.0,13.0
DF,402.0,1.0,0.0,8.734,11.016
DG,6.229222222222223,9,31,0,0
DH,7.0,432.0,7.0,0.0,7.547
DI,42.68,4,179,3,0
DJ,15.047,4,83,1,0
DK,7.324800000000001,5,376,0,0
DL,0,0,0,0,0
DM,7.0,462.0,6.0,0.0,5.25
DN,11.6686,5,188,1,0
DO,5.587625,8,214,0,0
DP,0,0,0,0,0
DQ,8.39,1,52,0,0
DR,6.451124999999999,8,175,0,0
DS,0,0,0,0,0
DT,0,0,0,0,0
DU,12.359,7.953,7.953,7.953,7.953
DV,1.0,55.0,0.0,0.0,8.141
DW,7.482,6,185,0,0
DX,9.668,8,526,1,0
EA,12.508,4,324,1,0
EB,68.0,4.0,0.0,23.937,10.094
ED,0,0,0,0,0
EF,6.140571428571429,7,430,0,0
EG,7.515,1,66,0,0
EH,8.0975,8,714,0,0
EI,9.0,2.0,7.0,0.0,24.579
EJ,38.937,2,400,2,0
EK,7.047,8,1718,0,0
EL,10.0,64.0,10.0,0.0,16.734
EM,14.565333333333333,6,557,3,0
EN,9.9455,2,130,0,0
EO,0,0,0,0,0
EP,88.0,4.0,0.0,10.312,6.594
EQ,0,0,0,0,0
ER,21.18755555555556,9,59,8,0
ES,95.0,7.0,0.0,7.844,5.5
ET,6.825666666666667,6,92,0,0
EU,0,0,0,0,0
EV,6.720857142857143,7,51,0,0
EW,9.046875,8,178,0,0
EX,7.64475,4,148,0,0
FA,8.437,1,277,0,0
FB,8.0,576.0,4.0,0.0,7.875
FD,27.5,1,352,1,0
FE,6.196285714285715,7,446,0,0
FG,6.313,1,168,0,0
FH,6.353250000000001,8,91,0,0
FI,17.161666666666665,3,387,3,0
FJ,6.688,6.688,6.688,6.688,6.688
FK,7.25,2,12,0,0
FL,0.0,0.0,0.0,0.0,12.016
FM,15.033125,8,73,5,0
FN,16.324125,8,96,4,0
FO,0,0,0,0,0
FP,7.375,8.703,8.703,8.703,8.703
FQ,5.702999999999999,2,206,0,0
FR,9.051666666666668,3,415,0,0
FS,13.010666666666665,3,409,1,0
FT,13.181,7,172,1,0
FU,17.011142857142858,7,209,4,0
FV,3.0,330.0,2.0,0.0,10.61
FW,8.729111111111113,9,299,0,0
FX,8.0,301.0,4.0,0.0,9.093
GA,6.161666666666666,3,412,0,0
GB,6.027000000000001,4,383,0,0
GD,4.829777777777779,9,53,0,0
GE,0,0,0,0,0
GF,6.390666666666667,3,225,0,0
GH,6.937375,8,184,0,0
GI,14.351500000000001,2,284,1,0
GJ,10.467299999999998,10,210,2,0
GK,0,0,0,0,0
GL,12.30075,4,334,1,0
GM,12.109285714285715,7,504,2,0
GN,9.0,87.0,2.0,0.0,7.812
GO,8.109,2,11,0,0
GP,16.657,1,403,1,0
GQ,6.938,1,49,0,0
GR,10.776714285714286,7,118,1,0
GS,0.0,0.0,5.344,5.344,5.344
GT,3.0,135.0,0.0,0.0,4.406
GU,21.943600000000004,5,407,4,0
GV,12.238249999999999,8,471,1,0
GW,9.075,5,56,0,0
GX,0,0,0,0,0
HA,6.914,2,333,0,0
HB,6.0,292.0,0.0,0.0,7.156
HD,22.903714285714283,7,138,6,0
HE,7.75,1,272,0,0
HF,7.9308571428571435,7,510,0,0
HG,6.734333333333333,3,7,0,0
HI,0.0,0.0,0.0,0.0,11.297
HJ,12.169875,8,162,2,0
HK,7.363250000000001,4,203,0,0
HL,391.0,0.0,0.0,8.547,9.016
HM,19.884875,8,536,7,0
HN,0,0,0,0,0
HO,0,0,0,0,0
HP,7.0,177.0,0.0,0.0,8.219
HQ,5.7695,8,221,0,0
HR,15.8945,4,222,2,0
HS,11.36525,8,1270,2,0
HT,2.0,0.0,18.563,18.563,18.563
HU,4.0,207.0,3.0,0.0,12.391
HV,568.0,8.0,0.0,13.422,7.859
HW,7.65225,4,9,0,0
HX,14.337625,8,335,3,0
IA,1.0,366.0,0.0,0.0,15.11
IB,0.0,0.0,0.0,17.922,10.219
ID,0,0,0,0,0
IE,22.345714285714283,7,186,7,0
IF,8.0,113.0,8.0,0.0,5.813
IG,0,0,0,0,0
IH,10.861111111111112,9,108,0,0
IJ,7.0,0.0,11.89,11.89,11.89
IK,14.627125,8,517,2,0
IL,14.780999999999999,2,134,1,0
IM,0.0,0.0,0.0,0.0,11.969
IN,19.551249999999996,4,255,3,0
IO,9.020777777777777,9,153,0,0
IP,0.0,0.0,0.0,0.0,8.359
IQ,11.671857142857144,7,187,0,0
IR,6.0,41.0,3.0,0.0,31.89
IS,13.695166666666665,6,475,3,0
IT,0,0,0,0,0
IU,15.950499999999998,6,450,3,0
IV,9.346142857142857,7,193,0,0
IW,12.437,12.437,12.437,12.437,7.719
IX,8.850666666666667,9,296,0,0
JA,0,0,0,0,0
JB,0.0,0.0,6.25,6.25,6.25
JD,8.0,160.0,4.0,0.0,10.469
JE,0.0,0.0,0.0,0.0,25.641
JF,18.744999999999997,3,419,1,0
JG,8.3688,5,93,0,0
JH,14.14942857142857,7,257,3,0
JI,3.0,243.0,2.0,0.0,14.922
JK,6.885000000000001,3,261,0,0
JL,0.0,18.594,28.469,6.765,7.625
JM,9.0,14.0,5.0,0.0,7.781
JN,12.411666666666667,3,293,1,0
JO,8.136500000000002,8,163,0,0
JP,0,0,0,0,0
JQ,5.754,4,304,0,0
JR,6.0,137.0,1.0,0.0,6.75
JS,0.0,0.0,0.0,0.0,6.156
JT,5.314714285714286,7,77,0,0
JU,0,0,0,0,0
JV,6.1225,6,356,0,0
JW,6.049,7,105,0,0
JX,17.88533333333333,3,345,1,0
KA,7.478199999999999,5,191,0,0
KB,0,0,0,0,0
KD,7.429375,8,248,0,0
KE,6.308749999999999,8,76,0,0
KF,6.5545,2,378,0,0
KG,10.34375,4,45,1,0
KH,6.6610000000000005,3,100,0,0
KI,9.879571428571428,7,275,0,0
KJ,4.281,1,241,0,0
KL,5.953,1,47,0,0
KM,6.388571428571427,7,89,0,0
KN,8.0,547.0,0.0,0.0,5.75
KO,14.802,3,40,1,0
KP,5.231,5,434,0,0
KQ,7.937333333333332,3,300,0,0
KR,1.0,20.0,0.0,0.0,5.515
KS,7.390499999999999,2,350,0,0
KT,5.4308571428571435,7,25,0,0
KU,18.7715,8,61,6,0
KV,0.0,0.0,6.188,6.188,6.188
KW,14.548625,8,33,2,0
KX,7.850428571428572,7,262,1,0
LA,1.0,0.0,6.266,6.266,6.266
LB,18.80142857142857,7,468,4,0
LD,7.28525,8,1036,0,0
