AB,5.996444444444443,9,193,0,7.547
AD,8.258125000000001,8,1255,0,0.0
AE,5.902375,8,506,0,0.0
AF,9.636583333333334,12,650,2,0.0
AG,5.632875,8,743,0,0.0
AH,7.449000000000001,8,721,0,0.0
AI,13.338999999999999,10,577,4,0.0
AJ,9.918444444444445,9,1075,0,0.0
AK,6.273,2,504,0,0.0
AL,12.026,9,817,2,0.0
AM,8.791,8,888,1,0.0
AN,7.269499999999999,8,3466,0,0.0
AO,5.742125,8,1089,0,0.0
AP,7.33425,8,1077,0,0.0
AQ,14.171727272727276,11,96,3,8.812
AR,10.565700000000001,10,23,1,6.156
AS,6.473299999999999,10,98,0,7.281
AT,11.357375,8,1548,3,0.0
AU,13.594705882352942,17,250,6,0.0
AV,8.320400000000001,10,368,0,0.0
AW,15.846249999999998,12,265,7,0.0
AX,9.99311111111111,9,601,1,0.0
BA,6.4357,10,369,0,0.0
BD,6.70125,8,728,0,0.0
BE,9.5175,8,1823,0,0.0
BF,8.174545454545454,11,171,0,6.281
BG,5.269111111111112,9,487,0,0.0
BH,6.863125000000001,8,993,0,0.0
BI,15.201636363636363,11,290,4,0.0
BJ,4.785,9,1320,0,0.0
BK,6.03981818181818,11,41,0,5.047
BL,13.654555555555554,9,781,3,0.0
BM,13.9108,10,549,2,0.0
BN,12.863333333333335,12,393,5,0.0
BO,6.3145,8,1669,0,0.0
BP,13.663833333333335,12,395,4,0.0
BQ,5.5545,8,1056,0,0.0
BR,17.312571428571427,14,9,6,9.61
BS,6.899181818181817,11,1381,0,0.0
BT,4.570375,8,892,0,0.0
BU,14.98709090909091,11,206,5,28.047
BV,5.1701999999999995,10,373,0,0.0
BW,7.0684545454545455,11,195,0,8.531
BX,8.915875,8,945,0,0.0
DA,9.755875,8,737,1,0.0
DB,6.236111111111112,9,1670,0,0.0
DE,17.05725,12,109,6,13.0
DF,15.91063636363636,11,124,5,11.016
DG,6.229222222222223,9,2743,0,0.0
DH,18.252250000000004,16,121,12,7.547
DI,24.18216666666667,12,256,8,0.0
DJ,12.191625,8,1680,1,0.0
DK,6.898375,8,1139,0,0.0
DL,4.85525,8,647,0,0.0
DM,16.8345,10,44,6,5.25
DN,9.900375,8,1218,1,0.0
DO,5.4123,10,1690,0,0.0
DP,6.550875,8,772,0,0.0
DQ,6.908375,8,902,0,0.0
DR,6.451124999999999,8,2887,0,0.0
DS,6.147666666666667,9,391,0,0.0
DT,6.49,8,733,0,0.0
DU,17.795733333333327,15,27,10,7.953
DV,8.8922,10,22,0,8.141
DW,7.0785,8,2173,0,0.0
DX,9.154555555555554,9,1380,1,0.0
EA,11.664199999999997,10,237,2,0.0
EB,14.825785714285713,14,66,6,10.094
ED,9.288875,8,873,0,0.0
EF,6.04875,8,2409,0,0.0
EG,6.16775,8,1209,0,0.0
EH,8.0975,8,3426,0,0.0
EI,19.557538461538464,13,166,10,24.579
EJ,23.38363636363636,11,379,9,0.0
EK,7.047,8,4430,0,0.0
EL,22.08792857142857,14,1037,14,0.0
EM,11.2475,12,389,3,0.0
EN,8.74025,8,889,0,0.0
EO,10.779333333333334,9,442,2,0.0
EP,16.259692307692305,13,107,5,6.594
EQ,5.218624999999999,8,520,0,0.0
ER,18.458416666666665,12,1113,8,0.0
ES,18.75,9,201,7,7.844
ET,6.64075,8,1814,0,0.0
EU,8.792874999999999,8,753,1,0.0
EV,6.725666666666667,9,1236,0,0.0
EW,9.01211111111111,9,1345,0,0.0
EX,6.367500000000001,8,1212,0,0.0
FA,6.494125,8,940,0,0.0
FB,12.829600000000003,10,600,4,0.0
FD,18.24833333333333,9,788,6,0.0
FE,6.00375,8,2424,0,0.0
FG,5.259875000000001,8,1197,0,0.0
FH,6.298200000000001,10,1699,0,0.0
FI,15.899833333333332,12,294,8,0.0
FJ,9.7546,10,113,0,8.922
FK,6.388625000000001,8,852,0,0.0
FL,10.437555555555555,9,11,0,12.016
FM,14.322076923076922,13,419,6,0.0
FN,13.05135714285714,14,348,4,0.0
FO,6.002428571428572,7,514,0,0.0
FP,16.802857142857135,21,89,13,8.703
FQ,5.159666666666667,9,598,0,0.0
FR,7.570125,8,1121,0,0.0
FS,9.712875,8,1445,1,0.0
FT,10.665,11,1613,1,0.0
FU,13.321583333333335,12,377,4,0.0
FV,15.403363636363638,11,74,5,10.61
FW,8.224363636363638,11,1776,0,0.0
FX,13.894142857142857,14,156,5,9.093
GA,5.441375000000001,8,717,0,0.0
GB,5.300625000000001,8,1239,0,0.0
GD,4.815600000000002,10,2008,0,0.0
GE,5.106111111111111,9,552,0,0.0
GF,5.878750000000001,8,832,0,0.0
GH,6.937375,8,2896,0,0.0
GI,10.744124999999999,8,913,1,0.0
GJ,9.425538461538459,13,1382,2,0.0
GK,5.494555555555555,9,596,0,0.0
GL,9.804625,8,1061,1,0.0
GM,10.9172,10,754,2,0.0
GN,9.655153846153844,13,53,2,7.812
GO,6.341999999999999,9,313,0,0.0
GP,9.83,9,555,2,0.0
GQ,6.4003749999999995,8,880,0,0.0
GR,9.414727272727275,11,686,1,0.0
GS,6.865181818181816,11,115,0,5.344
GT,7.522666666666668,9,905,0,0.0
GU,18.41488888888889,9,604,6,0.0
GV,11.0453,10,2508,1,0.0
GW,8.51211111111111,9,1232,0,0.0
GX,9.605375,8,723,0,0.0
HA,6.606545454545454,11,605,0,0.0
HB,8.039777777777779,9,94,0,7.156
HD,19.754692307692316,13,303,11,0.0
HE,6.984333333333335,9,282,0,0.0
