BC,4.6605,4,284,0,0
BD,6.379714285714285,7,451,1,0
BF,10.948166666666665,6,164,2,0
BG,4.131200000000001,5,200,0,0
BH,3.0040000000000004,4,244,0,0
BI,6.669333333333334,6,271,1,0
BJ,10.109399999999999,5,448,2,0
BK,4.096333333333333,6,49,0,0
BL,4.2126,5,841,0,0
BM,7.1812,5,41,1,0
BO,2.5518333333333336,6,21,0,0
BP,3.6301666666666663,6,467,0,0
BS,5.1695714285714285,7,727,0,0
BT,4.6436,5,272,0,0
BU,5.9124,5,88,0,0
BV,7.7473333333333345,6,723,1,0
BW,6.509600000000001,5,217,0,0
BX,6.5601666666666665,6,506,0,0
CB,4.363250000000001,4,69,0,0
CD,4.1408000000000005,5,382,0,0
CF,6.265750000000001,4,386,0,0
CG,3.046666666666667,6,959,0,0
CH,5.0904,5,300,0,0
CI,10.464571428571428,7,100,1,0
CK,4.130333333333333,3,220,0,0
CL,3.7263333333333333,6,743,0,0
CN,10.3545,6,163,2,0
CO,5.062571428571429,7,189,0,0
CP,3.772,5,151,0,0
CQ,6.959857142857143,7,181,1,0
CS,4.085999999999999,6,40,0,0
CT,4.429749999999999,4,105,0,0
CU,8.867166666666668,6,10,1,0
CV,9.002666666666668,6,876,1,0
CW,4.2998,5,175,0,0
CX,7.1469000000000005,10,72,0,0
DB,7.0622,5,197,1,0
DC,4.3461428571428575,7,319,0,0
DG,4.226500000000001,6,459,0,0
DH,4.89075,4,76,0,0
DJ,9.31242857142857,7,218,1,0
DK,4.628875,8,199,0,0
DL,6.192666666666667,6,844,1,0
DM,7.45725,4,373,0,0
DN,5.925999999999999,4,129,0,0
DO,3.330428571428572,7,74,0,0
DP,4.033571428571428,7,327,0,0
DQ,13.423999999999998,7,279,3,0
DS,4.5135000000000005,8,277,0,0
DT,5.39875,4,222,0,0
DU,9.091499999999998,14,1,3,0
DV,5.942666666666667,3,298,0,0
DW,4.687500000000001,6,379,0,0
DX,6.852714285714287,7,381,1,0
FB,10.9968,5,147,2,0
FC,8.810142857142855,7,263,2,0
FG,8.5415,6,311,0,0
FH,8.762599999999999,5,295,1,0
FJ,7.772285714285715,7,215,0,0
FK,12.859499999999999,6,482,1,0
FL,9.975100000000001,10,89,1,0
FM,12.618800000000002,5,93,3,0
FN,7.851500000000001,6,270,0,0
FO,12.508,4,508,1,0
FP,14.647142857142855,7,207,3,0
FQ,6.34725,4,103,0,0
FS,12.414857142857143,7,322,3,0
FT,5.677166666666667,6,39,0,0
FU,6.3952857142857145,7,233,0,0
FV,9.354000000000001,6,308,0,0
FW,33.58175,4,160,4,0
FX,5.810499999999999,8,138,0,0
GB,3.705666666666667,6,90,0,0
GC,5.349000000000001,6,385,0,0
GD,5.705285714285714,7,258,0,0
GF,7.910315789473687,19,78,0,0
GH,4.984666666666667,3,350,0,0
GI,10.416500000000001,6,904,2,0
GJ,6.713500000000001,6,182,0,0
GK,4.867249999999999,4,121,0,0
GM,6.252333333333333,6,703,0,0
GN,8.414,4,107,0,0
GO,6.753750000000001,4,102,0,0
GP,12.319285714285716,7,492,3,0
GQ,6.341428571428572,7,489,0,0
GS,5.99275,4,81,0,0
GT,5.774428571428572,7,336,0,0
GV,6.006571428571429,7,824,0,0
GW,7.618285714285713,7,548,1,0
GX,8.731833333333332,6,403,1,0
HB,2.41425,8,157,0,0
HC,5.1955,4,372,0,0
HD,6.0045714285714284,7,77,1,0
HF,6.2395,6,128,0,0
HG,5.504,4,371,0,0
HI,5.637600000000001,5,306,0,0
HJ,4.9184,5,424,0,0
HK,11.620999999999999,4,205,1,0
HL,5.3498,5,82,0,0
HM,13.645833333333334,6,101,3,0
HN,10.07,4,228,1,0
HO,15.354,3,346,1,0
HP,6.571285714285715,7,555,0,0
HQ,5.8498,5,35,0,0
HT,3.8932500000000005,12,3,0,0
HU,7.812428571428571,7,148,1,0
HV,6.788666666666667,6,125,0,0
HW,9.495384615384618,13,307,2,0
IB,5.1156,5,266,0,0
IC,9.3124,5,862,1,0
IG,5.106199999999999,5,180,0,0
IH,6.537699999999999,10,106,1,0
IJ,5.562428571428571,7,520,1,0
IK,4.7684,5,27,0,0
